,loraname,training_step,prompt_id,timestamp,eval_person_llm,eval_image_quality_llm,eval_limb_quality_llm,eval_artifacts_quality_llm,eval_same_person_llm,eval_prompt_adherence_llm,eval_prompt_adherence_llm_simpler_prompt,clip_score
0,personal-lora-fluxdev-florence2-r16,001400,01,20250107084013,1.0,0.8,0.9,0.7,0.9,0.8,0.9,37.3579
1,personal-lora-fluxdev-florence2-r16,002000,00,20250107145648,1.0,0.9,0.9,0.95,0.9,0.9,0.9,28.8453
2,personal-lora-fluxdev-florence2-r16,001000,02,20250107082622,1.0,0.85,0.6,0.6,0.3,0.4,0.8,29.5397
3,personal-lora-fluxdev-florence2-r16,000400,02,20250107140052,0.0,0.9,0.9,0.8,0.0,0.0,0.0,33.0577
4,personal-lora-fluxdev-florence2-r16,000800,02,20250107141459,1.0,1.0,0.9,0.7,0.8,0.5,0.6,32.2855
5,personal-lora-fluxdev-florence2-r16,001400,00,20250107143544,1.0,0.9,0.9,0.9,0.95,0.85,0.8,26.118
6,personal-lora-fluxdev-florence2-r16,002000,02,20250107090129,1.0,0.95,0.9,0.85,0.7,0.5,0.5,32.0445
7,personal-lora-fluxdev-florence2-r16,003000,01,20250107093624,1.0,0.85,0.7,0.8,0.9,0.8,0.8,33.03
8,personal-lora-fluxdev-florence2-r16,002600,02,20250107151817,1.0,0.95,0.89,0.85,0.85,0.5,0.5,31.7761
9,personal-lora-fluxdev-florence2-r16,003200,02,20250107094338,1.0,0.8,0.8,0.8,0.8,0.4,0.5,30.9718
10,personal-lora-fluxdev-florence2-r16,003600,01,20250107095729,1.0,0.9,0.9,0.4,0.95,0.8,0.8,36.7432
11,personal-lora-fluxdev-florence2-r16,002800,00,20250107092912,0.0,0.8,0.7,0.7,0.2,0.2,0.2,19.8224
12,personal-lora-fluxdev-florence2-r16,000200,02,20250107135347,1.0,0.9,0.8,0.85,0.7,0.7,0.9,36.6903
13,personal-lora-fluxdev-florence2-r16,003600,00,20250107155305,1.0,0.9,0.8,0.9,0.95,0.9,0.8,26.3764
14,personal-lora-fluxdev-florence2-r16,001400,02,20250107143607,1.0,0.9,0.8,0.85,0.9,0.3,0.5,32.7895
15,personal-lora-fluxdev-florence2-r16,002600,01,20250107151805,1.0,0.9,0.9,0.7,0.9,0.9,0.9,38.2834
